UniProt ID,Gene Symbol,Name,Process/Function,Ions,Gating,Channel Class,In BETSE?
Q5VVH1,-,"cDNA FLJ50648, highly similar to Voltage-dependent L-type calcium channel subunit beta-2",,,,,
Q5W554,CHRNA7,Nicotinic acetylcholine alpha-7 subunit,,cation,Ligand,nAChR,doable
Q5XXA6,ANO1,Anoctamin-1,Cl- channel; Voltage-gated; Ca2+ activated Cl-channel (CACC). Intracellular,Cl-,Voltage,,
Q68CS5,DKFZp781,Putative uncharacterized protein DKFZp781L0846,? - unknown protein,,,,
Q69YW4,DKFZp434,Anoctamin-2,,Cl-,Voltage,,
Q6B4S2,SCN8A,Voltage-gated sodium channel Nav1.6,Na+ channel; Voltage-gated;,Na+,Voltage,Nav1.6,yes
Q6B4S3,SCN8A,Voltage-gated sodium channel Nav1.6,Na+ channel; Voltage-gated;,Na+,Voltage,Nav1.6,yes
Q6B4S4,SCN8A,Voltage-gated sodium channel Nav1.6,Na+ channel; Voltage-gated;,Na+,Voltage,Nav1.6,yes
Q6FG22,KCNAB2,KCNAB2 protein,K+ channel; Voltage-gated;,K+,Voltage,KvBeta2,
Q6FG44,KCNAB2,KCNAB2 protein,K+ channel; Voltage-gated;,K+,Voltage,KvBeta2,
Q6FGP1,CLIC3,Chloride intracellular channel protein,Cl- channel; Voltage-gated;,Cl-,Voltage,ClIC3,
Q6FHJ6,KCNE1,KCNE1 protein,K+ channel; ? gating; ,K+,Voltage,,
Q6FIC5,CLIC4,Chloride intracellular channel protein,Cl- channel; Voltage-gated; Apoptosis,Cl-,Voltage,ClIC4,
Q6IAE6,KCNE3,KCNE3 protein,K+ channel; ? gating; ,K+,Voltage,,
Q6IMJ0,OLFM3,NOELIN3_V2,NOT AN ION CHANNEL;,,,,
Q6IQ26,DENND5A,DENN domain-containing protein 5A,NOT AN ION CHANNEL; Activates proteins RAB promoting exchange of GDP to GTP,,,,
Q6IWH7,ANO7,Anoctamin-7,Scramblase activity. (?) No CACC activity,Cl-,Voltage,,
Q6JXY2,SK3,Small-conductance calcium-activated potassium channel SK3,K+ channel; Ligand-gated; Ca2+ activated;,K+,Ligand,,
Q6KEA0,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEA5,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEB2,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEB8,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEC3,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEC8,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KED3,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KED8,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEE7,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEF9,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEG3,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEG6,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEG9,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEH8,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEH9,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEI2,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEI7,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEI8,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEJ1,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEJ4,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6KEJ7,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q6L5N3,kcnj12x,Hkir2.2x,?,,,,
Q6NSJ5,LRRC8E,Volume-regulated anion channel subunit LRRC8E,anion channel; ? gating; Volume-regulated anion channel (VRAC); Maintain constant cell voluem;,anion,Osmotic,,
Q6NW43,TRPM3,TRPM3 protein,cation channel; ? gating;,cation,Ligand. Temperature.,TRPM3,
Q6P1Z3,P2RX6,P2RX6 protein,Cation channel; Ligand-gated; ATP-gated; P2X family of G-protein-coupled receptors;,cation,Ligand,P2X,
Q6P2D3,-,Uncharacterized protein,? - unknown protein; K+ channel; Voltage-gated,,,,
Q6P3V6,GRIK2,GRIK2 protein,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q6PI25,CNIH2,Protein cornichon homolog 2,NOT AN ION CHANNEL; Regulates gating of AMPA-selective glutamate receptors,,,,
Q6PIL6,KCNIP4,Kv channel-interacting protein 4,K+ channel; Voltage-gated; ,K+,Voltage,,
Q6PIU1,KCNV1,Potassium voltage-gated channel subfamily V member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv8.1,
Q6PIW1,P2RX1,P2RX1 protein,Cation channel; Ligand-gated; ATP-gated; P2X family of G-protein-coupled receptors;,cation,Ligand,P2X,
Q6TME0,CACNB2,Voltage-dependent L-type calcium channel subunit beta-2,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cancnb2,
Q6TME4,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cancnb1,
Q6U279,KCNH2,Potassium channel HERG,K+ channel; Voltage-gated;,K+,Voltage,Kv11.1 (hERG),
Q6U283,KCNH2,Potassium channel HERG,K+ channel; Voltage-gated;,K+,Voltage,Kv11.1 (hERG),
Q6U287,KCNH2,Potassium channel HERG,K+ channel; Voltage-gated;,K+,Voltage,Kv11.1 (hERG),
Q6UVM3,KCNT2,Potassium channel subfamily T member 2,K+ channel; Voltage-gated;,K+,Ligand,Slo2b,
Q6XYC3,-,LP6728,Ca2+ channel; ? gating; ,,,,
Q6ZMN3,-,"cDNA FLJ16802 fis, clone TESTI4005158, highly similar to Amiloride-sensitive sodium channel delta-subunit",,,,,
Q6ZRH7,CATSPERG,Cation channel sperm-associated protein subunit gamma,cation channel; Voltage-gated; Sperm cell hyperactivation associating with CATSPER1; Sperm motility,cation,Voltage,,
Q6ZS12,-,"cDNA FLJ45908 fis, clone OCBBF3028001, moderately similar to Rattus norvegicus potassium channel subunit (Slack) (Slack)",,,,,
Q6ZSJ9,SHISA6,Protein shisa-6 homolog,NOT AN ION CHANNEL;,,,,
Q6ZUT9,DENND5B,DENN domain-containing protein 5B,NOT AN ION CHANNEL; Activates proteins RAB promoting exchange of GDP to GTP,,,,
Q6ZW95,KCNK2,Potassium channel subfamily K member 2,K+ channel; Voltage-gated;,K+,Voltage,TREK-1 (K2P2.1),
Q70T24,TRPC7,Short transient receptor potential channel 7,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC7,
Q70T25,TRPC7,Short transient receptor potential channel 7,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC7,
Q70Z44,HTR3D,5-hydroxytryptamine receptor 3D,Cation channel; Ligand-gated; part of 5-HT3 ion channel,cation,Ligand,5HT3,doable
Q71ME5,-,Voltage-gated potassium channel subunit Kv6.4,K+ channel; Voltage-gated;,K+,Voltage,,
Q71RS6,SLC24A5,Sodium/potassium/calcium exchanger 5,antiporter/symporter,,antiporter/symporter,,
Q71UK3,-,P2X1 receptor,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q71UU0,-,GABA subunit A receptor alpha 6,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q75LS7,KCND2,Putative uncharacterized protein KCND2,? - unknown protein,K+,Voltage,Kv4.2,unreliable parm
Q75ME0,STX1A,Putative uncharacterized protein STX1A,? - unknown protein,,,,
Q75V66,ANO5,Anoctamin-5,(?) No CACC activity,,,,
Q76FP2,KCNV1,Potassium channel subfamily V member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv8.1,
Q7KYZ7,-,Potassium ion channel,K+ channel; Voltage-gated;,K+,Voltage,,
Q7L1W4,LRRC8D,Volume-regulated anion channel subunit LRRC8D,anion channel; ? gating; Volume-regulated anion channel (VRAC); Maintain constant cell voluem;,anion,Osmotic,,
Q7LBE3,SLC26A9,Solute carrier family 26 member 9,carrier,,carrier,,
Q7RTX7,CATSPER4,Cation channel sperm-associated protein 4,"Ca2+ channel; Voltage-gated; Part of CatSper channel; Sperm hyperactivation, acrosome reaction, chemotaxis towards oocyte.",Ca2+,Voltage,,
Q7Z2R8,MST130,MSTP130,Cl- channel; ? gating; ,Cl-,Voltage,,
Q7Z2W7,TRPM8,Transient receptor potential cation channel subfamily M member 8,cation channel; ? gating; Detection of cold; ,cation,Ligand. Temperature.,TRPM8,
Q7Z3S7,CACNA2D4,Voltage-dependent calcium channel subunit alpha-2/delta-4,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q7Z418,KCNK18,Potassium channel subfamily K member 18,K+ channel; Voltage-gated;,K+,Voltage,,
Q7Z442,PKD1L2,Polycystic kidney disease protein 1-like 2,?; ?; May function as an ion channel regulator,,,,
Q7Z443,PKD1L3,Polycystic kidney disease protein 1-like 3,Ca2+ channel; ?-gated; Component of ciliary Ca2+ channel that controls Ca2+ conc. Heterodimer with PKD1L3;,Ca2+,Ligand,,
Q7Z4M4,CLCN3,CLCN3 protein,Cl- channel; Voltage-gated;,Cl-,Voltage,ClvC3,
Q7Z4N2,TRPM1,Transient receptor potential cation channel subfamily M member 1,cation channel; ?-gating; TRPM=transient receptor potential melastatin; May suppress melanoma metastasis (Wikipedia),cation,Ligand. Temperature.,TRPM1,
Q86SV2,TMEM37,Putative uncharacterized protein PR1,? - unknown protein,,,,
Q86U57,KCNH2,Potassium voltage-gated channel subfamily H member 2 (hERG),K+ channel; Voltage-gated;,K+,Voltage,Kv11.1 (hERG),
Q86V90,SCN5A,SCN5A protein (NaV1.5),Na+ channel; Voltage-gated; Primarily in cardiac muscle; Impulse propagation through the heart,Na+,Voltage,Nav1.5,
Q86VW0,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,"NOT AN ION CHANNEL; docking protein, directs assembly of TRP  channels",,,,
Q86W47,KCNMB4,Calcium-activated potassium channel subunit beta-4,K+ channel; Voltage-gated; Ca2+ activated; Rgulatory subunit of KCNMA1,K+,Ligand,BKB4,doable
Q86WA9,SLC26A11,Sodium-independent sulfate anion transporter,(?) sulphate anion transporter,,,,
Q86WJ5,HCN3,Hyperpolarization activated cyclic nucleotide-gated potassium channel,K+ channel; Voltage-gated; cAMP binding,cation,Voltage,HCN3,
Q86WJ6,HCN1,Hyperpolarization activated cyclic nucleotide-gated potassium channel,K+ channel; Voltage-gated; cAMP binding,cation,Voltage,HCN1,yes
Q86WK6,AMIGO1,Amphoterin-induced protein 1,(?)  Assembles with KCNB1 to modculate gating characteristics,,,,
Q86XI1,KCNH5,KCNH5 protein,K+ channel; ? gating; ,K+,Voltage,Kv10.2,
Q86XJ0,CALHM3,Calcium homeostasis modulator protein 3,"cation channel (Ca2+, Na+, K+); Voltage-gated; Pore-forming unit;",cation,Voltage,,
Q86XM0,CATSPERD,Cation channel sperm-associated protein subunit delta,cation channel; Voltage-gated; Auxiliary component of CatSper complex - required incorporation of the CatSper complex into the membrane,cation,Voltage,,
Q86XQ3,CATSPER3,Cation channel sperm-associated protein 3,"Ca2+ channel; Voltage-gated; Part of CatSper channel; Sperm hyperactivation, acrosome reaction, chemotaxis towards oocyte.",Ca2+,Voltage,,
Q86XX0,CACNA1C,Voltage-dependent L-type calcium channel alpha 1C subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav1.2 (L-type),yes
Q86XX1,CACNA1C,Voltage-dependent L-type calcium channel alpha 1C subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav1.2 (L-type),yes
Q86Y85,KCNG1,"Potassium voltage-gated channel, subfamily G, member 1",K+ channel; Voltage-gated;,K+,Voltage,Kv6.1,
Q86YM0,CLIC2,Chloride intracellular channel 2 isoform b,Cl- channel,Cl-,Voltage,ClIC2,
Q8IU99,CALHM1,Calcium homeostasis modulator protein 1,"cation channel (Ca2+, Na+, K+); Voltage-gated and Ca-activated; Pore-forming unit; Required for sensory preception of sweet, bitter tastes",cation,Voltage,,
Q8IV77,CNGA4,Cyclic nucleotide-gated cation channel alpha-4,cation channel; Ligand-gated; cAMP activated; Modulatory subunit; Plays a role in the transduction of odorant signals,cation,Ligand,,
Q8IVV2,LOXHD1,Lipoxygenase homology domain-containing protein 1,?,,,,
Q8IW23,-,"Similar to glutamate receptor, ionotropic, N-methyl D-aspartate 2C",Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,,
Q8IWP8,-,Transient receptor potential channel 7 beta splice variant,cation channel; ? gating;,cation,Ligand. Mechanical. Temperature.,,
Q8IWS1,KCT1,Keratinocytes associated transmembrane protein 1,?,,,,
Q8IWT1,SCN4B,Sodium channel subunit beta-4,"Na+ channel; Voltage-gated; Causes negative shift in the voltage depedance of action of alpha Na+ channels, but doesn't affect inactivation voltage; Modulates suceptibility of Na+ channels to inhibition by toxic peptides from spider, etc. Mutations associated with heart disorder; ",Na+,Voltage,Nav2.4,
Q8IWT6,LRRC8A,Volume-regulated anion channel subunit LRRC8A,anion channel; ? gating; Volume-regulated anion channel (VRAC); Maintain constant cell voluem;,anion,Osmotic,,
Q8IYU8,MICU2,"Calcium uptake protein 2, mitochondrial",Ca2+ channel; Acts as a gatekeeper of Ca2+ channel;,,Uniporter,,
Q8IZF0,NALCN,Sodium leak channel non-selective protein,Cation channel; Ligand-gated; Neuronal excitability; Activated by neuropeptides --> SRC family kinases --> NALCN ,cation,Ligand,,
Q8IZK6,MCOLN2,Mucolipin-2,Cation channel; ? gating; ,cation,Ligand,,
Q8IZS8,CACNA2D3,Voltage-dependent calcium channel subunit alpha-2/delta-3,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacna2d3,
Q8IZY9,-,Vanilloid receptor subtype 1,Ca2+ channel; ? gating; ,Ca2+,Ligand,,
Q8N144,GJD3,Gap junction delta-3 protein,NOT AN ION CHANNEL; just a pore,,,,
Q8N1C3,GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q8N1M1,BEST3,Bestrophin-3,Cl- channel; ? gating; calcium-sensitive Cl-channel. Permeable to bicarbonate,Cl-,Ligand,,
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12,NOT AN ION CHANNEL; Enzyme,,,,
Q8N2Q7,NLGN1,Neuroligin-1,NOT AN ION CHANNEL; Cell surface protein involved in cell-cell interactions,,,,
Q8N3U8,DKFZp761,Protein tweety homolog,Cl- channel (probable); ? gating,Cl-,Ligand,,
Q8N538,KCNJ16,"Potassium inwardly-rectifying channel, subfamily J, member 16",K+ channel; Ligand-gated;,K+,Voltage,Kir5.1,
Q8N5C1,FAM26E,Protein FAM26E,Cation channel; Voltage-gated; Pore-forming subunit,cation,Voltage,,
Q8N8W8,-,"cDNA FLJ38750 fis, clone KIDNE2012563",,,,,
Q8NBS3,SLC4A11,Sodium bicarbonate transporter-like protein 11,NOT AN ION CHANNEL; ,,,,
Q8NBV5,-,"cDNA FLJ90725 fis, clone PLACE1009527, weakly similar to Oryctolagus cuniculus epithelial calcium channel",,,,,
Q8NC07,-,"cDNA FLJ90622 fis, clone PLACE1002726, moderately similar to Oryctolagus cuniculus epithelial calcium channel",,,,,
Q8NCM2,KCNH5,Potassium voltage-gated channel subfamily H member 5,K+ channel; Voltage-gated;,K+,Voltage,Kv10.2,
Q8NE86,MCU,"Calcium uniporter protein, mitochondrial","uniporter; Ca2+; Mtochondrial uniporter regulated by MICU1 and MICU2; Mitochondrial Ca2+ homeostasis plays roles in cell physiology and regulates cell bioenergetics, cytoplasmic Ca2+ signals, acitvation of cell death pathways, fight-or-flight responses in cardiac tissue, glucose-dependent insulin secretion in pancreas, muscle size; ",,Uniporter,,
Q8NEC5,CATSPER1,Cation channel sperm-associated protein 1,"Ca2+ channel; Voltage-gated; Part of CatSper channel; Sperm hyperactivation, acrosome reaction, chemotaxis towards oocyte.",Ca2+,Voltage,,
Q8NEF4,TMEM146,TMEM146 protein,?,,,,
Q8NER1,TRPV1,Transient receptor potential cation channel subfamily V member 1 (Vanilloid receptor 1),"cation channel; ? gating; Transient receptor potential vanilloid (TRPV); Activated by high temperatures, capsaicin; Detection of noxious chemical and thermal stimuli",cation,Ligand. Mechanical. Temperature.,TRPV1,
Q8NET8,TRPV3,Transient receptor potential cation channel subfamily V member 3,"cation channel; ? gating; Activated by high temperatures; Play a role in hair growth, mood regulation (Wikipedia)",cation,Ligand. Mechanical. Temperature.,TRPV3,
Q8NFF2,SLC24A4,Sodium/potassium/calcium exchanger 4,antiporter/symporter,,antiporter/symporter,,
Q8NFU0,BEST4,Bestrophin-4,Cl- channel; ? gating; calcium-sensitive Cl-channel. Permeable to bicarbonate,Cl-,Ligand,,
Q8NFU1,BEST2,Bestrophin-2,Cl- channel; ? gating; calcium-sensitive Cl-channel. Permeable to bicarbonate,Cl-,Ligand,,
Q8NG04,SLC26A10,Solute carrier family 26 member 10,carrier,,carrier,,
Q8NG26,-,Putative nudix hydrolyase,NOT AN ION CHANNEL; hydrolize diphosphate derivatives,,,,
Q8NHX9,TPCN2,Two pore calcium channel protein 2,Ca2+ channel; Voltage-gated; Smooth muscle contraction,Ca2+,Voltage,,
Q8TAE7,KCNG3,Potassium voltage-gated channel subfamily G member 3,K+ channel; Voltage-gated;,K+,Voltage,Kv6.3,
Q8TBE1,CNIH3,Protein cornichon homolog 3,NOT AN ION CHANNEL; Regulates gating of AMPA-selective glutamate receptors,,,,
Q8TBI4,GABRA2,GABRA2 protein,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q8TBK0,TRPM3,TRPM3 protein,cation channel; ? gating;,cation,Ligand. Temperature.,TRPM3,
Q8TCG5,CPT1C,"Carnitine O-palmitoyltransferase 1, brain isoform",NOT AN ION CHANNEL,,,,
Q8TCU5,GRIN3A,"Glutamate receptor ionotropic, NMDA 3A","Cation channel low Ca2+ permeability, Mg2+ sensitivity is voltage-dependent); Ligand-gated; Glutamate-gated; Role in development of dendritic spines",cation,Ligand,NMDA,doable
Q8TD43,TRPM4,Transient receptor potential cation channel subfamily M member 4,"cation channel; ? gating; Monovalent cations, activated by intracellular Ca2+; Many roles in different tissue",cation,Ligand. Temperature.,TRPM4,
Q8TDD5,MCOLN3,Mucolipin-3,Cation channel; ? gating; ,cation,Ligand,,
Q8TDI7,TMC2,Transmembrane channel-like protein 2,probable channel; ? gating; cochlear hair cell function; ,?,Voltage. Mechnical.,,
Q8TDI8,TMC1,Transmembrane channel-like protein 1,probable channel; ? gating; cochlear hair cell function; ,?,Voltage. Mechnical.,,
Q8TDN1,KCNG4,Potassium voltage-gated channel subfamily G member 4,K+ channel; Voltage-gated;,K+,Voltage,Kv6.4,
Q8TDN2,KCNV2,Potassium voltage-gated channel subfamily V member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv8.2,
Q8TDW0,LRRC8C,Volume-regulated anion channel subunit LRRC8C,anion channel; ? gating; Volume-regulated anion channel (VRAC); Maintain constant cell voluem;,anion,Osmotic,,
Q8TDX9,PKD1L1,Polycystic kidney disease protein 1-like 1,Ca2+ channel; ?-gated; Component of ciliary Ca2+ channel that controls Ca2+ conc. Heterodimer with PKD2L1;,Ca2+,Ligand,,
Q8TE54,SLC26A7,Anion exchange transporter,"anion channel; gating? ; bicarbonate, chloride, sulfate, oxalate, organic anions? OR IS THIS A PORE?",,antiporter,,
Q8TEL6,TRPC4AP,Short transient receptor potential channel 4-associated protein,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,,
Q8TET8,FLJ00078,FLJ00078 protein,?,,,,
Q8WTQ6,SCN5A,Nav1.5,Na+ channel; Voltage-gated; Primarily in cardiac muscle,Na+,Voltage,Nav1.5,
Q8WTS0,SCN5A,Nav1.5,Na+ channel; Voltage-gated; Primarily in cardiac muscle,Na+,Voltage,Nav1.5,
Q8WU42,SCN1B,SCN1B protein,Na+ channel; Voltage-gated; Generation and propogation of action potentials in neurons; Mutations associated with Brugada syndrom and GEFS,Na+,Voltage,,
Q8WW53,CLCNKB,CLCNKB protein,Cl- channel; Voltage-gated;,Cl-,Voltage,ClCK2,
Q8WWG9,KCNE4,Potassium voltage-gated channel subfamily E member 4,K+ channel; Voltage-gated;,K+,Voltage,,
Q8WWL3,TRP7,Short transient receptor potential channel 7,cation channel; secondary messenger; ,cation,Ligand,,
Q8WWN6,SCN5A,Nav1.5,Na+ channel; Voltage-gated; Primarily in cardiac muscle,Na+,Voltage,Nav1.5,
Q8WXA8,HTR3C,5-hydroxytryptamine receptor 3C,Cation channel; Ligand-gated; part of 5-HT3 ion channel,cation,Ligand,5HT3,doable
Q8WXH2,JPH3,Junctophilin-3,"NOT AN ION CHANNEL; formation of junctional membrane complexes, essential for Ca2+ signaling",,,,
Q8WXS4,TMEM37,Voltage-dependent calcium channel gamma-like subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q8WXS5,CACNG8,Voltage-dependent calcium channel gamma-8 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng8,
Q8WYM7,RYR1,Ryanodine receptor type1,Ca2+ channel; ? gated;,Ca2+,Ligand,RyR,
Q8WYM8,RYR1,Ryanodine receptor type1,Ca2+ channel; ? gated;,Ca2+,Ligand,RyR,
Q8WZ55,BSND,Barttin,Cl- channel; Voltage-gated; beta subunit of CLCNKA and CLCNKB Cl-channels,Cl-,Voltage,,
Q92508,PIEZO1,Piezo-type mechanosensitive ion channel component 1,Cation channel; Mechanically-gated; Epithelial cell adhesion; In the kidney contributes to urine flow sensing; Key role in blood vessel formation,cation,Mechanical.,,
Q92736,RYR2,Ryanodine receptor 2,"Ca2+ channel; Ligand-gated; Excitable tissue; CICR; Primarily heart tissue; Cardiac muscle contraction, required for Ca2+ homeostatis and embryonic heart development; Mutations associated with heart disease",Ca2+,Ligand,RyR,
Q92796,DLG3,Disks large homolog 3,NOT AN ION CHANNEL; required for learning through its role in synaptic plasticity following NMDA receptor signalling,,,,
Q92806,KCNJ9,G protein-activated inward rectifier potassium channel 3,K+ channel; Voltage-gated; Controlled by G-proteins,K+,Voltage,Kir3.3,no
Q92952,KCNN1,Small conductance calcium-activated potassium channel protein 1,"K+ channel; Ligand-gated; Ca2+ activated; Membrane hyperpolerization, regulate neuronal excitability",K+,Ligand,SK1 (KCa2.1),
Q92953,KCNB2,Potassium voltage-gated channel subfamily B member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv2.2,soon
Q93034,CUL5,Cullin-5,NOT AN ION CHANNEL,,,,
Q93086,P2RX5,P2X purinoceptor 5,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q96AI9,-,"Similar to potassium voltage-gated channel, KQT-like subfamily, member 1",K+ channel; Voltage-gated;,Na+,Voltage,,
Q96D31,ORAI1,Calcium release-activated calcium  (CRAC) channel protein 1,Ca2+ channel; Activated by Ca2+ release causing Ca2+ influx following depletion of intracellular Ca2+; Involved in Ca2+ influx into T-cells promoting immune response ---> activate NFAT; Mutaitons associated with immunodeficiency and myopathy,Ca2+,Ligand,,
Q96D96,HVCN1,Voltage-gated hydrogen channel 1,H+ channel; Voltage-gated; Proton efflux facilitates acute production of reactive oxygen species in phagocytosis (immune response),H+,Voltage,,
Q96DB9,FXYD5,FXYD domain-containing ion transport regulator 5,Cl- channel; ? gating,Cl-,,,
Q96DJ3,KCNN3,Small-conductance calcium-activated potassium channel SK3,K+ channel; Ligand-gated; Ca2+ activated;,K+,Ligand,SK3 (KCa2.3),
Q96FT7,ASIC4,Acid-sensing ion channel 4,Na+ channel; Ligand-gated; part of the ASIC complex (trimeric),Na+,Ligand,,
Q96HU3,FAM38A,FAM38A protein,? channel; ? gating; Mechanoselective (mechanical gating?),cation,Mechanical,,
Q96KB3,-,"cDNA FLJ14389 fis, clone HEMBA1002876",,,,,
Q96KK3,KCNS1,Potassium voltage-gated channel subfamily S member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv9.1,
Q96L42,KCNH8,Potassium voltage-gated channel subfamily H member 8,K+ channel; Voltage-gated;,K+,Voltage,Kv12.1,
Q96LV9,TRPM6,Transient receptor potential cation channel subfamily M member 6,cation channel; ? gating; ,cation,Ligand. Temperature.,TRPM6,
Q96NY7,CLIC6,Chloride intracellular channel protein 6,Cl- channel; Voltage-gated; May play critical role in water-secreting cells,Cl-,Voltage,,
Q96P56,CATSPER2,Cation channel sperm-associated protein 2,"Ca2+ channel; Voltage-gated; Part of CatSper channel; Sperm hyperactivation, acrosome reaction, chemotaxis towards oocyte.",Ca2+,Voltage,,
