#UniProt	Protein name					  Target ID	    Compound Key  Compound ID	    Compound Name	   First Approval Withdrawn Flag	Description of mech. of action.	   Action Type
A5X5Y0        Serotonin 3 (5-HT3) receptor                        CHEMBL2094132     RG3487        CHEMBL3544952     RG3487                                 0   Serotonin 3 (5-HT3) receptor antagonist             ANTAGONIST                    
A5X5Y0        Serotonin 3 (5-HT3) receptor                        CHEMBL2094132     TEDATIOXETIN  CHEMBL2104986     TEDATIOXETINE                          0   Serotonin 3 (5-HT3) receptor antagonist             ANTAGONIST                    
A5X5Y0        Serotonin (5-HT) receptor                           CHEMBL2096904                                                                                                                                                                  
A8MPY1        GABA-C receptor                                     CHEMBL2109242                                                                                                                                                                  
O00305        Voltage-gated calcium channel                       CHEMBL2363032     ATAGABALIN    CHEMBL593430      ATAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     GW468816      CHEMBL1207366     GW468816                               0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     Indantadol    CHEMBL3707400     Indantadol                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     KETAMINE HYD  CHEMBL1714        Ketamine Hydrochloride          1970   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     LANICEMINE    CHEMBL2107647     LANICEMINE                             0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     MEMANTINE HY  CHEMBL1699        Memantine Hydrochloride         2003   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     NEBOGLAMINE   CHEMBL1255840     NEBOGLAMINE                            0   Glutamate [NMDA] receptor positive allosteric modu  POSITIVE ALLOSTERIC MODULATOR 
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     NRX-1074      CHEMBL3545230     NRX-1074                               0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1200395     Orphenadrine Citrate            1959   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1201023     Orphenadrine Hydrochloride      1957   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     RALFINAMIDE   CHEMBL2107771     RALFINAMIDE                            0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q05586        Glutamate [NMDA] receptor                           CHEMBL2094124     RAPASTINEL    CHEMBL3544917     RAPASTINEL                             0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
Q05586        Ionotropic glutamate receptor NMDA 1/2C             CHEMBL3038504                                                                                                                                                                  
Q05586        Ionotropic glutamate receptor NMDA 1/2D             CHEMBL3038505                                                                                                                                                                  
Q05901        Neuronal acetylcholine receptor; alpha3/alpha6/bet  CHEMBL2109233                                                                                                                                                                  
Q05901        Nicotinic acetylcholine receptor alpha3/betaX       CHEMBL2111384                                                                                                                                                                  
Q06432        Voltage-gated calcium channel                       CHEMBL2363032     ATAGABALIN    CHEMBL593430      ATAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
Q06432        Voltage-gated calcium channel                       CHEMBL2363032     BEPRIDIL HYD  CHEMBL1200382     Bepridil Hydrochloride          1990   0   Voltage-gated calcium channel blocker               BLOCKER                       
Q06432        Voltage-gated calcium channel                       CHEMBL2363032     GABAPENTIN    CHEMBL940         Gabapentin                      1993   0   Voltage-gated calcium channel modulator             MODULATOR                     
Q06432        Voltage-gated calcium channel                       CHEMBL2363032     GABAPENTIN E  CHEMBL1628502     Gabapentin Enacarbil            2011   0   Voltage-gated calcium channel modulator             MODULATOR                     
Q06432        Voltage-gated calcium channel                       CHEMBL2363032     IMAGABALIN    CHEMBL2103836     IMAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
Q06432        Voltage-gated calcium channel                       CHEMBL2363032     PREGABALIN    CHEMBL1059        Pregabalin                      2004   0   Voltage-gated calcium channel modulator             MODULATOR                     
Q07001        Acetylcholine receptor; alpha1/beta1/delta/gamma    CHEMBL1907588                                                                                                                                                                  
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     ATRACURIUM B  CHEMBL1200527     Atracurium Besylate             1983   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     CISATRACURIU  CHEMBL1200641     Cisatracurium Besylate          1995   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     DECAMETHONIU  CHEMBL1134        Decamethonium Bromide           1982   0   Muscle-type nicotinic acetylcholine receptor parti  PARTIAL AGONIST               
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     DOXACURIUM C  CHEMBL1237099     Doxacurium Chloride             1991   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     GALLAMINE TR  CHEMBL1200993     Gallamine Triethiodide          1982   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     METOCURINE I  CHEMBL1739        Metocurine Iodide               1982   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     MIVACURIUM C  CHEMBL984         Mivacurium Chloride             1992   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     PANCURONIUM   CHEMBL1200757     Pancuronium Bromide             1972   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     PIPECURONIUM  CHEMBL1200722     Pipecuronium Bromide            1990   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     RAPACURONIUM  CHEMBL1200549     Rapacuronium Bromide            1999   1   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     ROCURONIUM B  CHEMBL1200648     Rocuronium Bromide              1994   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     SUCCINYLCHOL  CHEMBL983         Succinylcholine Chloride        1952   0   Muscle-type nicotinic acetylcholine receptor agoni  AGONIST                       
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     TUBOCURARINE  CHEMBL1687        Tubocurarine Chloride           1945   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Muscle-type nicotinic acetylcholine receptor        CHEMBL2362997     VECURONIUM B  CHEMBL1200629     Vecuronium Bromide              1984   0   Muscle-type nicotinic acetylcholine receptor antag  ANTAGONIST                    
Q07001        Acetylcholine receptor protein delta chain          CHEMBL3011                                                                                                                                                                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     APREMILAST    CHEMBL514800      APREMILAST                      2014   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     AMINOPHYLLIN  CHEMBL1370561     Aminophylline                   1940   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     AMLEXANOX     CHEMBL1096        Amlexanox                       1996   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     DYPHYLLINE    CHEMBL1752        Dyphylline                      1951   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     FLAVOXATE HY  CHEMBL1200875     Flavoxate Hydrochloride         1970   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     OXTRIPHYLLIN  CHEMBL1200434     Oxtriphylline                   1981   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     ROFLUMILAST   CHEMBL193240      Roflumilast                     2011   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     THEOPHYLLINE  CHEMBL190         Theophylline                    1940   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase 4                                 CHEMBL2093863     THEOPHYLLINE  CHEMBL1200578     Theophylline Sodium Glycinate   1982   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q07343        Phosphodiesterase; PDE3 & PDE4                      CHEMBL2095153                                                                                                                                                                  
Q07343        Phosphodiesterase 4 and 5 (PDE4 and PDE5)           CHEMBL2111340                                                                                                                                                                  
Q07343        3',5'-cyclic phosphodiesterase                      CHEMBL2363066     DIPYRIDAMOLE  CHEMBL932         Dipyridamole                    1961   0   3',5'-cyclic phosphodiesterase inhibitor            INHIBITOR                     
Q07343        3',5'-cyclic phosphodiesterase                      CHEMBL2363066     PENTOXIFYLLI  CHEMBL628         Pentoxifylline                  1984   0   3',5'-cyclic phosphodiesterase inhibitor            INHIBITOR                     
Q07343        Phosphodiesterase 4B                                CHEMBL275                                                                                                                                                                      
Q08289        Voltage-gated calcium channel                       CHEMBL2363032     ATAGABALIN    CHEMBL593430      ATAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
Q08289        Voltage-gated calcium channel                       CHEMBL2363032     BEPRIDIL HYD  CHEMBL1200382     Bepridil Hydrochloride          1990   0   Voltage-gated calcium channel blocker               BLOCKER                       
Q08289        Voltage-gated calcium channel                       CHEMBL2363032     GABAPENTIN    CHEMBL940         Gabapentin                      1993   0   Voltage-gated calcium channel modulator             MODULATOR                     
Q08289        Voltage-gated calcium channel                       CHEMBL2363032     GABAPENTIN E  CHEMBL1628502     Gabapentin Enacarbil            2011   0   Voltage-gated calcium channel modulator             MODULATOR                     
Q08289        Voltage-gated calcium channel                       CHEMBL2363032     IMAGABALIN    CHEMBL2103836     IMAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
Q08289        Voltage-gated calcium channel                       CHEMBL2363032     PREGABALIN    CHEMBL1059        Pregabalin                      2004   0   Voltage-gated calcium channel modulator             MODULATOR                     
Q08289        Voltage-dependent L-type calcium channel subunit b  CHEMBL3317336                                                                                                                                                                  
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     APREMILAST    CHEMBL514800      APREMILAST                      2014   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     AMINOPHYLLIN  CHEMBL1370561     Aminophylline                   1940   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     AMLEXANOX     CHEMBL1096        Amlexanox                       1996   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     DYPHYLLINE    CHEMBL1752        Dyphylline                      1951   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     FLAVOXATE HY  CHEMBL1200875     Flavoxate Hydrochloride         1970   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     OXTRIPHYLLIN  CHEMBL1200434     Oxtriphylline                   1981   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     ROFLUMILAST   CHEMBL193240      Roflumilast                     2011   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     THEOPHYLLINE  CHEMBL190         Theophylline                    1940   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase 4                                 CHEMBL2093863     THEOPHYLLINE  CHEMBL1200578     Theophylline Sodium Glycinate   1982   0   Phosphodiesterase 4 inhibitor                       INHIBITOR                     
Q08499        Phosphodiesterase; PDE3 & PDE4                      CHEMBL2095153                                                                                                                                                                  
Q08499        Phosphodiesterase 4 and 5 (PDE4 and PDE5)           CHEMBL2111340                                                                                                                                                                  
Q08499        3',5'-cyclic phosphodiesterase                      CHEMBL2363066     DIPYRIDAMOLE  CHEMBL932         Dipyridamole                    1961   0   3',5'-cyclic phosphodiesterase inhibitor            INHIBITOR                     
Q08499        3',5'-cyclic phosphodiesterase                      CHEMBL2363066     PENTOXIFYLLI  CHEMBL628         Pentoxifylline                  1984   0   3',5'-cyclic phosphodiesterase inhibitor            INHIBITOR                     
Q08499        Phosphodiesterase 4D                                CHEMBL288                                                                                                                                                                      
Q09428        Sulfonylurea receptor 1                             CHEMBL2071                                                                                                                                                                     
Q09428        Sulfonylurea receptors; K-ATP channels              CHEMBL2095152     NAMINIDIL     CHEMBL2105160     NAMINIDIL                              0   Sulfonylurea receptors; K-ATP channels opener       OPENER                        
Q09428        Sulfonylurea receptors; K-ATP channels              CHEMBL2095152     SARAKALIM     CHEMBL2104449     SARAKALIM                              0   Sulfonylurea receptors; K-ATP channels opener       OPENER                        
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     ACETOHEXAMID  CHEMBL1589        Acetohexamide                   1964   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     CHLORPROPAMI  CHEMBL498         Chlorpropamide                  1958   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     GLIMEPIRIDE   CHEMBL1481        Glimepiride                     1995   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     GLIPIZIDE     CHEMBL1073        Glipizide                       1984   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     GLYBURIDE     CHEMBL472         Glyburide                       1984   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     NATEGLINIDE   CHEMBL783         Nateglinide                     2000   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     REPAGLINIDE   CHEMBL1272        Repaglinide                     1997   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     TOLAZAMIDE    CHEMBL817         Tolazamide                      1966   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     TOLBUTAMIDE   CHEMBL782         Tolbutamide                     1961   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09428        Sulfonylurea receptor 1, Kir6.2                     CHEMBL2096972     TOLBUTAMIDE   CHEMBL1200874     Tolbutamide Sodium              1961   0   Sulfonylurea receptor 1, Kir6.2 blocker             BLOCKER                       
Q09470        Voltage-gated potassium channel subunit Kv1.1       CHEMBL2309                                                                                                                                                                     
Q09470        Voltage-gated potassium channel                     CHEMBL2362996     DALFAMPRIDIN  CHEMBL284348      Dalfampridine                   2010   0   Voltage-gated potassium channel blocker             BLOCKER                       
Q09470        Voltage-gated potassium channel                     CHEMBL2362996     GUANIDINE HY  CHEMBL1200728     Guanidine Hydrochloride         1939   0   Voltage-gated potassium channel blocker             BLOCKER                       
Q09470        Voltage-gated potassium channel                     CHEMBL2362996     NERISPIRDINE  CHEMBL2107762     NERISPIRDINE                           0   Voltage-gated potassium channel blocker             BLOCKER                       
Q12791        Calcium-activated potassium channel alpha/beta 1    CHEMBL3038495                                                                                                                                                                  
Q12791        Calcium-activated potassium channel subunit alpha-  CHEMBL4304        ANDOLAST      CHEMBL119549      ANDOLAST                               0   Calcium-activated potassium channel subunit alpha-  ACTIVATOR                     
Q12791        Calcium-activated potassium channel subunit alpha-  CHEMBL4304        BMS-223131    CHEMBL222460      BMS-223131                             0   Calcium-activated potassium channel subunit alpha-  ACTIVATOR                     
Q12791        Calcium-activated potassium channel subunit alpha-  CHEMBL4304        FLINDOKALNER  CHEMBL266510      FLINDOKALNER                           0   Calcium-activated potassium channel subunit alpha-  OPENER                        
Q12809        Voltage-gated potassium channel                     CHEMBL2362996     DALFAMPRIDIN  CHEMBL284348      Dalfampridine                   2010   0   Voltage-gated potassium channel blocker             BLOCKER                       
Q12809        Voltage-gated potassium channel                     CHEMBL2362996     GUANIDINE HY  CHEMBL1200728     Guanidine Hydrochloride         1939   0   Voltage-gated potassium channel blocker             BLOCKER                       
Q12809        Voltage-gated potassium channel                     CHEMBL2362996     NERISPIRDINE  CHEMBL2107762     NERISPIRDINE                           0   Voltage-gated potassium channel blocker             BLOCKER                       
Q12809        HERG                                                CHEMBL240         AZD1305       CHEMBL3545169     AZD1305                                0   HERG blocker                                        BLOCKER                       
Q12809        HERG                                                CHEMBL240         AZD7009       CHEMBL3545040     AZD7009                                0   HERG blocker                                        BLOCKER                       
Q12809        HERG                                                CHEMBL240         AMIODARONE H  CHEMBL1083993     Amiodarone Hydrochloride        1985   0   HERG blocker                                        BLOCKER                       
Q12809        HERG                                                CHEMBL240         DOFETILIDE    CHEMBL473         Dofetilide                      1999   0   HERG blocker                                        BLOCKER                       
Q12809        HERG                                                CHEMBL240         IBUTILIDE FU  CHEMBL1200564     Ibutilide Fumarate              1995   0   HERG blocker                                        BLOCKER                       
Q12809        HERG                                                CHEMBL240         SOTALOL HYDR  CHEMBL1700        Sotalol Hydrochloride           1992   0   HERG blocker                                        BLOCKER                       
Q12879        Glutamate NMDA receptor; GRIN1/GRIN2A               CHEMBL1907604                                                                                                                                                                  
Q12879        Glutamate [NMDA] receptor subunit epsilon 1         CHEMBL1972        DEXTROMETHOR  CHEMBL1256818     Dextromethorphan Hydrobromide   1984   0   Glutamate [NMDA] receptor subunit epsilon 1 antago  ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor subunit epsilon 1         CHEMBL1972        DEXTROMETHOR  CHEMBL1201461     Dextromethorphan Polistirex     1982   0   Glutamate [NMDA] receptor subunit epsilon 1 antago  ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     AV-101        CHEMBL3545351     AV-101                                 0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     AZD8108       CHEMBL3707355     AZD8108                                0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     ACAMPROSATE   CHEMBL2068724     Acamprosate Calcium             2004   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     AMANTADINE H  CHEMBL1569        Amantadine Hydrochloride        1968   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     CNS-5161      CHEMBL41306       CNS-5161                               0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     DELUCEMINE    CHEMBL2110814     DELUCEMINE                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     FELBAMATE     CHEMBL1094        Felbamate                       1993   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     GW468816      CHEMBL1207366     GW468816                               0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     Indantadol    CHEMBL3707400     Indantadol                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     KETAMINE HYD  CHEMBL1714        Ketamine Hydrochloride          1970   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     LANICEMINE    CHEMBL2107647     LANICEMINE                             0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     MEMANTINE HY  CHEMBL1699        Memantine Hydrochloride         2003   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     NEBOGLAMINE   CHEMBL1255840     NEBOGLAMINE                            0   Glutamate [NMDA] receptor positive allosteric modu  POSITIVE ALLOSTERIC MODULATOR 
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     NRX-1074      CHEMBL3545230     NRX-1074                               0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1200395     Orphenadrine Citrate            1959   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1201023     Orphenadrine Hydrochloride      1957   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     RALFINAMIDE   CHEMBL2107771     RALFINAMIDE                            0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q12879        Glutamate [NMDA] receptor                           CHEMBL2094124     RAPASTINEL    CHEMBL3544917     RAPASTINEL                             0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
Q13002        Glutamate receptor ionotropic kainate               CHEMBL2109241     Selurampanel  CHEMBL3545042     Selurampanel                           0   Glutamate receptor ionotropic kainate antagonist    ANTAGONIST                    
Q13002        Glutamate receptor ionotropic kainate               CHEMBL2109241     TEZAMPANEL    CHEMBL14935       TEZAMPANEL                             0   Glutamate receptor ionotropic kainate antagonist    ANTAGONIST                    
Q13002        Glutamate receptor ionotropic kainate               CHEMBL2109241     TOPIRAMATE    CHEMBL220492      Topiramate                      1996   0   Glutamate receptor ionotropic kainate antagonist    ANTAGONIST                    
Q13002        Ionotropic glutamate receptor kainate 2/5           CHEMBL3038480                                                                                                                                                                  
Q13002        Glutamate receptor ionotropic kainate 2             CHEMBL3683                                                                                                                                                                     
Q13003        Glutamate receptor ionotropic kainate               CHEMBL2109241     Selurampanel  CHEMBL3545042     Selurampanel                           0   Glutamate receptor ionotropic kainate antagonist    ANTAGONIST                    
Q13003        Glutamate receptor ionotropic kainate               CHEMBL2109241     TEZAMPANEL    CHEMBL14935       TEZAMPANEL                             0   Glutamate receptor ionotropic kainate antagonist    ANTAGONIST                    
Q13003        Glutamate receptor ionotropic kainate               CHEMBL2109241     TOPIRAMATE    CHEMBL220492      Topiramate                      1996   0   Glutamate receptor ionotropic kainate antagonist    ANTAGONIST                    
Q13003        Glutamate receptor ionotropic kainate 3             CHEMBL3684                                                                                                                                                                     
Q13224        Glutamate [NMDA] receptor subunit epsilon 2         CHEMBL1904                                                                                                                                                                     
Q13224        Glutamate NMDA receptor; GRIN1/GRIN2B               CHEMBL1907603     CERC-301      CHEMBL2068839     CERC-301                               0   Glutamate NMDA receptor; GRIN1/GRIN2B antagonist    ANTAGONIST                    
Q13224        Glutamate NMDA receptor; GRIN1/GRIN2B               CHEMBL1907603     EVT-101       CHEMBL3545349     EVT-101                                0   Glutamate NMDA receptor; GRIN1/GRIN2B antagonist    ANTAGONIST                    
Q13224        Glutamate NMDA receptor; GRIN1/GRIN2B               CHEMBL1907603     Radiprodil    CHEMBL182066      Radiprodil                             0   Glutamate NMDA receptor; GRIN1/GRIN2B antagonist    ANTAGONIST                    
Q13224        Glutamate NMDA receptor; GRIN1/GRIN2B               CHEMBL1907603     TRAXOPRODIL   CHEMBL17350       TRAXOPRODIL                            0   Glutamate NMDA receptor; GRIN1/GRIN2B antagonist    ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     AV-101        CHEMBL3545351     AV-101                                 0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     AZD8108       CHEMBL3707355     AZD8108                                0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     ACAMPROSATE   CHEMBL2068724     Acamprosate Calcium             2004   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     AMANTADINE H  CHEMBL1569        Amantadine Hydrochloride        1968   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     CNS-5161      CHEMBL41306       CNS-5161                               0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     DELUCEMINE    CHEMBL2110814     DELUCEMINE                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     FELBAMATE     CHEMBL1094        Felbamate                       1993   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     GW468816      CHEMBL1207366     GW468816                               0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     Indantadol    CHEMBL3707400     Indantadol                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     KETAMINE HYD  CHEMBL1714        Ketamine Hydrochloride          1970   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     LANICEMINE    CHEMBL2107647     LANICEMINE                             0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     MEMANTINE HY  CHEMBL1699        Memantine Hydrochloride         2003   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     NEBOGLAMINE   CHEMBL1255840     NEBOGLAMINE                            0   Glutamate [NMDA] receptor positive allosteric modu  POSITIVE ALLOSTERIC MODULATOR 
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     NRX-1074      CHEMBL3545230     NRX-1074                               0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
Q13224        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1200395     Orphenadrine Citrate            1959   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
